S.no,Police_Station,District
956,Deepna Kheda,Vidisha
957,Dehat Basoda,Vidisha
958,Ganj Basoda,Vidisha
959,Gulabganj,Vidisha
960,Gyaraspur,Vidisha
961,Haidargarh,Vidisha
962,Kararia,Vidisha
963,Kotwali Vidisha,Vidisha
964,Kurwai,Vidisha
965,Lateri,Vidisha
966,Mugalsarai,Vidisha
967,Murwas,Vidisha
968,Nateran,Vidisha
969,Pathari,Vidisha
970,Patharia Vidisha,Vidisha
971,Shamshabad,Vidisha
972,Sironj,Vidisha
973,Teonda,Vidisha
974,Unarsi Kalan,Vidisha
